Temperature,Precipitation,Humidity,WindSpeed,WindDir,CloudCover,Pressure
6.5302453,0.0,81.2849,15.94601,208.30075,73.0,1012.5
6.2402453,0.0,83.22755,15.683774,211.86598,73.0,1012.6
6.210245,0.0,84.7112,16.704155,217.11687,84.0,1013.0
6.170245,0.1,84.94641,16.363178,219.64418,74.0,1013.2
6.1602454,0.0,83.80913,16.323528,221.42366,50.0,1013.3
6.130245,0.0,84.10285,15.629971,218.4537,53.0,1013.7
6.020245,0.0,84.32747,15.9134655,217.64761,41.0,1014.1
6.040245,0.0,84.449776,15.192682,216.32683,39.0,1014.7
6.290245,0.0,82.822174,14.693999,210.96376,44.0,1015.0
6.8402452,0.0,81.61914,15.696165,216.60707,42.0,1015.2
7.4302454,0.0,78.20641,14.291592,220.91438,52.0,1015.6
8.080246,0.0,75.3871,16.323528,228.57634,68.0,1015.6
8.210245,0.0,75.784424,16.279802,234.90419,53.0,1015.6
8.190246,0.0,76.4252,14.57889,237.09476,41.0,1015.1
8.290245,0.0,75.05355,13.089354,238.49574,27.0,1015.1
8.080246,0.0,75.12102,9.504272,232.69606,24.0,1015.3
7.0102453,0.0,79.64705,7.928177,219.47246,36.0,1015.8
5.7202454,0.0,85.010635,7.342588,191.30994,40.0,1016.3
5.2602453,0.0,86.418076,7.92,180.0,30.000002,1016.2
5.420245,0.0,85.39759,7.928178,182.60257,30.000002,1016.3
5.110245,0.0,86.277504,8.64,180.0,30.000002,1016.2
5.3102455,0.0,84.65669,8.647496,177.61406,30.000002,1015.1
5.6002455,0.0,84.45306,10.086427,177.95459,56.0,1014.5
5.8302455,0.0,82.46372,10.538843,187.85332,96.0,1014.8
6.1602454,0.0,80.252014,12.371645,188.36589,99.0,1013.8
6.6402454,0.0,77.46423,15.192682,193.70695,99.0,1012.4
7.3502455,0.1,72.56643,17.309973,196.92752,100.0,1011.8
7.5702453,0.4,75.34709,19.721298,201.41296,100.0,1011.1
7.7202454,0.6,79.81503,22.057161,206.14685,100.0,1010.1
7.960245,0.8,82.068115,23.675304,208.12373,100.0,1009.5
8.350245,0.8,82.065636,24.162947,208.4742,98.0,1009.0
8.590245,0.5,81.8136,24.514387,209.95361,97.0,1008.9
8.820246,0.5,82.017204,24.863466,214.38034,96.0,1008.9
9.110246,0.5,81.716576,24.569836,219.05313,98.0,1009.0
9.270246,0.6,82.8227,22.392464,216.50143,100.0,1008.9
9.8102455,0.5,80.58039,23.710857,210.06859,98.0,1007.9
9.890245,0.4,80.59219,25.071098,212.09259,100.0,1006.6
9.820246,0.5,82.49687,24.850431,218.53018,100.0,1006.1
9.690246,0.7,85.31209,25.133053,218.01895,99.0,1005.6
9.670245,0.8,86.19404,25.199997,216.8699,100.0,1005.3
9.740245,1.2,85.788315,25.376808,211.66075,100.0,1004.5
9.930245,1.1,85.34003,24.967499,204.71744,100.0,1003.6
10.280245,0.7,83.643074,25.759504,206.56505,100.0,1002.6
10.590245,0.6,81.530655,27.871534,215.53767,97.0,1002.3
10.770246,0.3,81.33253,29.301876,222.51045,95.0,1002.4
10.940246,0.3,79.42699,29.784426,224.5103,100.0,1002.7
11.170245,0.2,76.72658,27.026386,228.2397,90.0,1003.7
11.150246,0.0,76.09163,27.80403,228.6745,89.0,1004.2
10.960245,0.0,79.53919,25.772078,228.96466,76.0,1004.2
10.930245,0.0,80.08247,23.507751,229.96974,84.0,1004.5
10.930245,0.0,79.589264,21.897945,226.33223,95.0,1004.4
10.760245,0.0,80.112114,21.897945,226.33223,81.0,1004.6
10.670245,0.1,80.87297,23.113008,232.59465,68.0,1004.5
10.670245,0.1,78.84078,23.4,233.1301,69.0,1004.9
10.630245,0.1,76.74078,23.557316,231.20346,74.0,1005.2
10.520246,0.3,75.56196,24.216522,228.01279,78.0,1005.6
10.790245,0.0,72.42809,24.703974,223.22853,72.0,1005.5
11.270246,0.0,67.461555,24.951921,223.83087,71.0,1005.7
11.630245,0.0,65.40755,24.122686,232.27501,67.0,1006.1
11.880245,0.0,63.438194,23.979893,234.16235,77.0,1005.8
12.270246,0.0,65.00892,23.557316,231.20346,68.0,1004.9
12.360246,0.1,65.66552,24.522314,229.76364,59.0,1004.1
12.230246,0.4,66.55447,25.537172,229.57393,61.0,1003.6
11.680245,0.7,69.11898,23.950148,227.43665,77.0,1003.2
11.340245,1.3,68.75921,23.419376,225.0,82.0,1002.9
11.000245,1.3,68.11295,26.478971,226.10172,51.0,1002.7
10.100245,0.9,78.64177,28.963785,237.69266,80.0,1003.6
9.920245,0.2,77.90736,27.553524,241.09082,53.0,1004.4
10.000245,0.0,75.943535,27.047956,243.0939,60.0,1005.2
9.880245,0.2,73.67892,25.284714,241.9755,74.0,1005.7
9.600245,0.0,73.21427,22.366402,236.82149,73.0,1006.0
9.540245,0.0,73.71763,24.766848,237.46494,77.0,1006.5
9.330245,0.1,73.98857,25.683926,238.76079,82.0,1006.7
9.160245,0.2,75.212715,25.376808,238.33925,92.0,1007.2
8.980246,0.3,75.70946,26.727423,242.74467,89.0,1007.9
8.760245,0.2,79.25285,24.472057,243.81189,68.0,1008.9
8.490246,0.2,80.89044,23.510508,244.61209,71.0,1009.3
8.360246,0.1,80.92777,20.929594,243.43495,55.0,1010.2
8.480246,0.2,78.60014,21.413193,243.00417,69.0,1010.8
8.330246,0.1,78.74142,19.513195,240.12401,65.0,1011.6
8.350245,0.0,78.74465,17.673029,236.63364,70.0,1012.0
8.480246,0.0,82.25587,18.775303,237.52881,69.0,1012.6
8.730246,0.2,81.09537,17.208603,232.65065,70.0,1013.1
9.210245,0.2,78.71801,18.723461,232.0284,89.0,1013.0
9.740245,0.0,77.76958,19.386593,238.67131,65.0,1012.4
9.940246,0.2,76.03872,16.179987,237.72437,38.0,1011.8
9.890245,0.1,74.14545,12.88981,234.09029,36.0,1011.5
9.380245,0.0,75.78089,9.220499,231.3402,28.800001,1011.0
7.3902454,0.0,82.79874,6.9247384,207.89728,27.6,1010.4
8.090245,0.0,79.87262,5.771239,176.42366,29.1,1010.5
5.480245,0.0,90.58234,4.896529,162.89728,30.000002,1010.1
5.1202455,0.0,92.62564,5.8048253,150.25511,29.1,1009.8
4.7602453,0.0,93.589226,6.6087217,150.64224,29.7,1009.5
4.2402453,0.0,95.70598,6.6087217,150.64224,29.400002,1008.8
3.9602456,0.0,95.42036,6.297428,149.03624,65.0,1008.7
4.0502453,0.0,95.76462,8.373386,154.53665,63.0,1008.4
4.150245,0.0,95.90553,7.9036193,149.93141,56.0,1008.0
4.3302455,0.0,95.37175,7.4128532,150.94539,70.0,1007.4
4.380245,0.0,94.29815,7.24486,153.43495,30.0,1006.9
4.4402456,0.0,93.104416,6.763786,154.79887,27.000002,1006.6
4.770245,0.0,91.68544,6.439876,153.43495,45.0,1006.0
5.0502453,0.0,90.67364,6.439876,153.43495,61.0,1005.5
5.5602455,0.0,88.68788,6.9527545,158.7495,59.0,1005.5
5.8902454,0.0,88.84601,6.763786,154.79887,76.0,1005.5
5.8902454,0.0,90.68127,6.12,151.9275,92.0,1005.6
6.5902452,0.1,90.10664,6.151683,159.44395,99.0,1005.6
6.900245,0.2,91.337685,6.87779,173.991,91.0,1005.9
7.4302454,0.2,91.37885,6.849467,183.01279,98.0,1006.1
7.900245,0.2,90.344864,6.2145634,190.00798,100.0,1005.2
8.240246,0.1,88.45523,6.5693827,189.46233,100.0,1005.0
8.280246,0.2,89.01207,5.7599998,180.0,99.0,1005.1
8.090245,0.2,89.67528,5.04,180.0,91.0,1004.9
7.420245,0.1,91.061104,5.4119864,183.81407,78.0,1005.1
7.110245,0.0,92.05645,4.6938252,175.60129,71.0,1005.0
6.4902453,0.0,94.15688,4.73506,171.25385,78.0,1005.2
5.9702454,0.0,95.85516,3.2599385,173.6598,84.0,1005.6
5.650245,0.0,95.63918,2.2768397,198.43495,71.0,1005.8
5.860245,0.0,93.72487,3.6179552,275.7106,74.0,1005.8
5.9502454,0.0,93.07531,4.6938257,302.4712,83.0,1006.1
5.790245,0.0,92.28286,6.4096174,321.84277,61.0,1006.0
5.7402453,0.1,92.14943,5.3517847,317.72632,88.0,1006.2
5.630245,0.1,91.236595,4.5536795,288.43497,95.0,1007.3
5.4102454,0.2,90.4483,5.2416787,285.9454,99.0,1007.5
5.210245,0.1,89.91965,4.3349743,265.23636,100.0,1007.8
5.040245,0.0,89.96792,4.379589,260.5377,100.0,1008.1
4.920245,0.0,90.59809,3.9763298,264.80557,100.0,1008.3
4.8502455,0.0,90.39915,3.7585104,253.30075,98.0,1008.8
4.5802455,0.0,91.02076,4.0249224,259.69516,97.0,1009.5
4.6602454,0.0,89.933075,3.2599385,263.65982,92.0,1010.0
5.2002454,0.0,89.030235,4.1046314,285.25513,91.0,1010.5
5.5602455,0.0,87.06864,5.506941,281.30994,97.0,1010.7
5.980245,0.0,84.561966,5.815978,291.8014,63.0,1010.7
6.2602453,0.0,82.23217,4.829907,296.56506,54.0,1010.5
6.2602453,0.2,81.998856,5.1165614,309.2894,40.0,1010.1
6.0702453,0.1,83.44102,6.792466,327.99463,49.0,1010.1
5.860245,0.0,84.06746,5.495161,328.39252,73.0,1010.7
5.4702454,0.2,85.952255,3.8939953,326.30994,87.0,1010.9
5.210245,0.1,86.227806,4.510787,331.38956,91.0,1011.3
5.1602454,0.1,86.59128,4.198285,329.03625,92.0,1011.6
5.1202455,0.1,87.32979,4.8965297,323.97263,94.0,1011.8
4.960245,0.2,88.375725,6.4096174,321.84277,95.0,1011.9
4.790245,0.2,89.49821,6.489992,326.30994,97.0,1011.5
4.730245,0.2,91.68229,4.1046314,344.74487,97.0,1011.8
4.6002455,0.3,92.325615,6.924738,351.02737,96.0,1011.7
4.5702453,0.3,92.586044,8.669949,355.23636,96.0,1011.8
4.4902453,0.3,93.77111,9.746631,355.7636,100.0,1012.1
4.3302455,0.4,94.832115,10.823973,356.18594,100.0,1012.3
4.1902456,0.4,95.83943,11.183201,356.30862,99.0,1012.5
4.0902452,0.4,95.3593,11.165805,358.1524,100.0,1012.5
3.8402452,0.4,95.21054,11.542478,356.42368,100.0,1012.8
